2026 JAN W1 PLAYERS LIST

registered
 
125

started at Jan 10, 2026, 10:01 PM

finished at Jan 10, 2026, 11:43 PM


Position ↑	Player	Current Table	Stack	Status	Requested Participation	
1st	Lizzy0221 (ID: 6cyXGyvCcJ)	--	--	Finished	Jan 10, 2026, 8:28:26 PM	
2nd	sheyzzie (ID: lTLVx8FFVf)	--	--	Finished	Jan 10, 2026, 7:37:19 PM	
3rd	retrospect14 (ID: sBwyZ80IA7)	--	--	Finished	Jan 10, 2026, 8:47:24 PM	
4th	Dallas1444 (ID: DRBhwIAp70)	--	--	Finished	Jan 10, 2026, 8:40:37 PM	
5th	Stem12 (ID: Ol7DPuocD-)	--	--	Finished	Jan 10, 2026, 7:38:57 PM	
6th	elfinthenorth (ID: 4nc06lTD39)	--	--	Finished	Jan 10, 2026, 8:11:09 PM	
7th	Adam_Antman (ID: BLpuhXkM0c)	--	--	Finished	Jan 10, 2026, 9:50:18 PM	
8th	McFancy (ID: dSPbibj7qC)	--	--	Finished	Jan 10, 2026, 8:37:24 PM	
9th	DoctorDonkey (ID: vsm_SFXVQY)	--	--	Finished	Jan 10, 2026, 8:52:19 PM	
10th	Caxy_. (ID: _IxsB4-Vem)	--	--	Finished	Jan 10, 2026, 7:49:20 PM	
11th	brunogama#3868 (ID: k8MWHcdEZz)	--	--	Finished	Jan 10, 2026, 9:17:33 PM	
12th	azeez_azee246 (ID: d63QD-zvam)	--	--	Finished	Jan 10, 2026, 8:12:54 PM	
13th	Joesaif (ID: ISv5F8G9Pn)	--	--	Finished	Jan 10, 2026, 8:39:45 PM	
14th	Osyfoods (ID: ANgA6NU1QM)	--	--	Finished	Jan 10, 2026, 8:00:37 PM	
15th	fernandoflow_f (ID: PJm471adZg)	--	--	Finished	Jan 10, 2026, 8:42:23 PM	
16th	Hopp#8460 (ID: EH20T2qJZY)	--	--	Finished	Jan 10, 2026, 8:16:58 PM	
17th	P121CRO (ID: tXv0xQb8xG)	--	--	Finished	Jan 10, 2026, 10:04:48 PM	
18th	Goal (ID: TqyiRv1WAk)	--	--	Finished	Jan 10, 2026, 8:52:57 PM	
19th	gazopunk (ID: pHmHqtBxW5)	--	--	Finished	Jan 10, 2026, 7:50:49 PM	
20th	Artemis_469 (ID: a-hRzKXE4t)	--	--	Finished	Jan 10, 2026, 8:10:22 PM	
21st	Vini_0_7 (ID: 4kPE3RSC06)	--	--	Finished	Jan 10, 2026, 7:55:01 PM	
22nd	Sholly16 (ID: 5tm21P_aSX)	--	--	Finished	Jan 10, 2026, 8:27:35 PM	
23rd	sundaylex1 (ID: nvn64eJQuf)	--	--	Finished	Jan 10, 2026, 7:58:39 PM	
24th	GaroB (ID: fn4B3IEk4_)	--	--	Finished	Jan 10, 2026, 7:49:39 PM	
25th	Piratecombat (ID: HKJTv6xf_k)	--	--	Finished	Jan 10, 2026, 8:31:08 PM	
26th	Jagudelo (ID: C4H3yCGdHR)	--	--	Finished	Jan 10, 2026, 10:05:17 PM	
27th	Zelda1906 (ID: IeVRjJsIxp)	--	--	Finished	Jan 10, 2026, 8:36:53 PM	
28th	Aignasty (ID: 3eCn9tmk-3)	--	--	Finished	Jan 10, 2026, 8:52:32 PM	
29th	[XX]Nightfox (ID: tXBVCegGZY)	--	--	Finished	Jan 10, 2026, 9:01:18 PM	
30th	ShenBlake (ID: Jxjsd4PWrq)	--	--	Finished	Jan 10, 2026, 8:36:05 PM	
31st	Lostsoulsurfer (ID: opN2Hknnhn)	--	--	Finished	Jan 10, 2026, 7:39:29 PM	
32nd	andrescitoow (ID: ibmZWfv_UM)	--	--	Finished	Jan 10, 2026, 8:41:32 PM	
33rd	zaki28 (ID: 1BgXuRZHqj)	--	--	Finished	Jan 10, 2026, 10:14:23 PM	
34th	Robert on (ID: aXHWkv9dbO)	--	--	Finished	Jan 10, 2026, 9:53:55 PM	
35th	MagnumKolle (ID: 8vXO9zwUZZ)	--	--	Finished	Jan 10, 2026, 9:37:42 PM	
36th	Mikeww1611 (ID: zdfYFPT23j)	--	--	Finished	Jan 10, 2026, 10:15:34 PM	
37th	Amoroso08657 (ID: S_LLhPmWCS)	--	--	Finished	Jan 10, 2026, 8:40:54 PM	
38th	alexx044287 (ID: 8AYKYYgqmr)	--	--	Finished	Jan 10, 2026, 7:54:13 PM	
39th	Gaeaphile (ID: hsTLt9PFXJ)	--	--	Finished	Jan 10, 2026, 8:53:03 PM	
40th	Zulkifl (ID: zHfv1BiSBt)	--	--	Finished	Jan 10, 2026, 9:02:22 PM	
41st	pokercash. (ID: PYBHC1pAoK)	--	--	Finished	Jan 10, 2026, 8:44:30 PM	
42nd	cielo0358 (ID: HUoE4jlAaz)	--	--	Finished	Jan 10, 2026, 8:41:18 PM	
43rd	Klecko (ID: OrOlPxtrg0)	--	--	Finished	Jan 10, 2026, 7:39:07 PM	
44th	Narrrf (ID: olH4xBb2eX)	--	--	Finished	Jan 10, 2026, 9:35:51 PM	
